#
#   VizieR Astronomical Server: http://cdsweb.u-strasbg.fr	2005-11-16T04:35:09
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml18178	

#RESOURCE=1239
#Name: I/239
#Title:	The Hipparcos and Tycho Catalogues (ESA 1997)
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title:	The Hipparcos Main Catalogue\vizContent{timeSerie}
#Coosys	J2000_1991.250:	eq_FK5 2000_1991.250
#Column	recno	(I8)	Record number within the original table (starting from 1)        (link)	[ucd=RECORD]
#Column	HIP	(I6)	Identifier (HIP number) (H1)        (link)	[ucd=ID_MAIN]
#Column	RAhms	(A11)	Right ascension in h m s, ICRS (J1991.25) (H3)	[ucd=POS_EQ_RA_MAIN]
#Column	DEdms	(A11)	Declination in deg ' ", ICRS (J1991.25) (H4)	[ucd=POS_EQ_DEC_MAIN]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=PHOT_JHN_V]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=PHOT_JHN_B-V]

recno;HIP;RAhms;DEdms;Vmag;B-V
    2898;  2900;00 36 46.47;+44 29 18.6; 5.14; 1.587
    2901;  2903;00 36 47.31;+15 13 54.3; 5.89;-0.146
    2910;  2912;00 36 52.84;+33 43 09.7; 4.34;-0.123
    2918;  2920;00 36 58.27;+53 53 49.0; 3.69;-0.196
    2939;  2941;00 37 19.79;-24 46 02.0; 5.57; 0.715
    2940;  2942;00 37 21.23;+35 23 58.2; 5.45; 0.886
    3029;  3031;00 38 33.50;+29 18 44.5; 4.34; 0.871
    3081;  3083;00 39 09.89;+49 21 16.5; 5.45; 1.644
    3090;  3092;00 39 19.60;+30 51 40.4; 3.27; 1.268
    3091;  3093;00 39 22.09;+21 15 04.9; 5.88; 0.850
    3134;  3137;00 39 51.91;-44 47 46.8; 6.00; 1.142
    3136;  3138;00 39 55.55;+21 26 18.8; 5.36; 1.160
    3168;  3170;00 40 24.66;-59 27 20.5; 5.89; 0.564
    3177;  3179;00 40 30.39;+56 32 14.7; 2.24; 1.170
    3191;  3193;00 40 42.38;-04 21 06.5; 5.90; 1.091
    3229;  3231;00 41 07.20;+39 27 31.2; 5.30; 0.891
    3243;  3245;00 41 19.58;-46 05 06.0; 4.59; 0.953
    3276;  3277;00 41 46.30;-56 30 05.2; 5.72; 0.131
    3297;  3299;00 42 03.44;+66 08 51.4; 5.83; 1.042
    3298;  3300;00 42 03.88;+50 30 45.1; 4.80;-0.105
    3328;  3330;00 42 28.30;-65 28 05.3; 5.38; 0.515
    3350;  3352;00 42 41.64;-60 15 45.7; 5.99; 1.318
    3403;  3405;00 43 21.24;-57 27 47.2; 4.36; 0.024
    3412;  3414;00 43 28.09;+47 01 28.7; 4.95; 0.170
    3418;  3419;00 43 35.23;-17 59 12.1; 2.04; 1.019
    3453;  3455;00 44 11.41;-10 36 33.4; 4.77; 0.998
    3454;  3456;00 44 11.92;-38 25 19.1; 5.90; 1.144
    3476;  3478;00 44 26.23;+47 51 50.3; 5.66;-0.113
    3502;  3504;00 44 43.50;+48 17 03.8; 4.48;-0.069
    3503;  3505;00 44 44.44;-22 00 22.8; 5.22; 0.350
    3519;  3521;00 44 57.12;-42 40 34.8; 5.94; 0.297
    3542;  3544;00 45 17.20;+55 13 17.1; 5.41; 0.022
    3570;  3572;00 45 39.11;+74 59 17.3; 5.64; 0.078
    3581;  3583;00 45 45.43;-47 33 07.8; 5.80; 0.635
    3605;  3607;00 46 11.63;-22 31 19.4; 5.49; 0.978
    3630;  3632;00 46 32.98;+15 28 32.2; 5.36; 1.559
    3673;  3675;00 47 01.43;+11 58 26.2; 5.51; 0.987
    3691;  3693;00 47 20.39;+24 16 02.6; 4.08; 1.100
    3695;  3697;00 47 23.62;+06 44 27.5; 5.98; 0.941
    3715;  3717;00 47 43.20;-18 03 41.1; 5.70; 1.300
    3719;  3721;00 47 46.02;+74 50 51.3; 5.42;-0.066
    3739;  3741;00 48 01.05;-21 43 20.9; 5.57;-0.058
    3748;  3750;00 48 08.88;+72 40 28.0; 5.86; 1.010
    3758;  3760;00 48 17.34;+07 17 59.7; 5.92; 1.104
    3765;  3765;00 48 22.53;+05 17 00.2; 5.74; 0.890
    3779;  3781;00 48 35.12;-74 55 24.1; 5.09; 1.345
    3784;  3786;00 48 40.90;+07 35 06.7; 4.44; 1.500
    3799;  3801;00 48 49.99;+50 58 05.5; 4.90;-0.091
    3808;  3810;00 48 58.71;+16 56 28.1; 5.07; 0.502
    3820;  3821;00 49 05.10;+57 48 59.6; 3.46; 0.587
    3831;  3834;00 49 13.90;-24 08 11.5; 5.90; 0.944
    3847;  3849;00 49 25.55;-13 33 39.7; 5.59; 1.325
    3878;  3881;00 49 48.83;+41 04 44.2; 4.53;-0.136
    3882;  3885;00 49 53.11;+27 42 37.1; 5.55; 0.398
    3906;  3909;00 50 07.72;-10 38 37.6; 5.17; 0.514
    3946;  3949;00 50 41.13;-50 59 12.9; 5.24; 0.356
    3948;  3951;00 50 43.57;+64 14 51.3; 5.35; 0.528
    4102;  4104;00 52 40.60;-24 00 21.3; 5.47; 1.275
    4144;  4147;00 53 00.49;-01 08 39.2; 4.78; 1.550
    4149;  4151;00 53 04.28;+61 07 24.8; 4.80; 0.540
    4197;  4200;00 53 37.78;-62 52 16.9; 5.73; 1.574
    4264;  4267;00 54 35.22;+19 11 18.4; 5.80;-0.016
    4280;  4283;00 54 52.76;+83 42 26.9; 5.59; 0.105
    4285;  4288;00 54 58.02;+23 37 42.4; 5.46; 1.012
    4289;  4292;00 55 00.19;+58 58 22.1; 4.83; 1.216
    4290;  4293;00 55 00.30;-69 31 37.1; 5.45; 1.095
    4343;  4346;00 55 42.40;-07 20 49.3; 5.88; 1.520
    4368;  4371;00 56 01.51;-11 15 59.4; 5.35; 1.505
    4419;  4422;00 56 40.01;+59 10 52.2; 4.62; 0.957
    4424;  4427;00 56 42.50;+60 43 00.3; 2.15;-0.046
    4433;  4436;00 56 45.10;+38 29 57.3; 3.86; 0.130
    4437;  4440;00 56 46.94;+60 21 46.3; 5.56;-0.054
    4460;  4463;00 57 12.43;+23 25 03.9; 4.40; 0.940
    4507;  4510;00 57 50.15;+28 59 32.0; 5.44; 1.076
    4549;  4552;00 58 14.19;+33 57 03.8; 5.99; 1.000
    4569;  4572;00 58 31.00;+66 21 06.6; 5.97;-0.008
    4574;  4577;00 58 36.35;-29 21 26.9; 4.30;-0.154
    4584;  4587;00 58 43.89;-11 22 47.8; 5.62; 0.949
    4672;  4675;01 00 03.55;+44 42 47.9; 5.69;-0.010
    4767;  4770;01 01 18.23;-38 54 59.9; 5.59; 1.185
    4849;  4852;01 02 26.38;-31 33 07.4; 5.50; 0.083
    4886;  4889;01 02 49.09;+31 48 15.6; 5.50;-0.043
    4887;  4890;01 02 49.19;-46 23 50.4; 5.39; 0.900
    4900;  4903;01 02 54.28;+41 20 42.7; 5.95; 0.161
    4903;  4906;01 02 56.66;+07 53 24.3; 4.27; 0.952
    4911;  4914;01 03 02.60;-04 50 10.9; 5.40; 1.106
    4958;  4962;01 03 37.01;+61 04 29.4; 5.92; 0.512
    4995;  4998;01 04 02.39;+52 30 08.3; 5.99; 1.447
    5018;  5021;01 04 19.55;+61 34 48.9; 5.83; 0.569
    5078;  5081;01 05 05.35;+14 56 45.6; 5.64; 0.420
    5128;  5131;01 05 40.93;+21 28 23.6; 5.33; 0.003
    5129;  5132;01 05 41.68;+21 27 55.7; 5.55;-0.048
    5161;  5165;01 06 05.11;-46 43 06.6; 3.32; 0.885
    5162;  5164;01 06 05.13;-09 50 21.7; 5.58; 0.009
    5264;  5268;01 07 18.57;-61 46 30.9; 5.36; 0.884
    5292;  5296;01 07 46.12;-09 47 08.1; 5.71; 0.446
    5296;  5300;01 07 47.83;-41 29 13.0; 5.21; 0.159
    5306;  5310;01 07 57.11;+20 44 21.6; 5.56; 0.121
    5313;  5317;01 08 00.72;+43 56 32.1; 5.04; 0.109
    5332;  5336;01 08 12.92;+54 55 27.2; 5.17; 0.704
    5342;  5346;01 08 22.34;+05 39 00.8; 5.51; 0.334
    5344;  5348;01 08 23.06;-55 14 45.0; 3.94;-0.120
    5357;  5361;01 08 33.45;+58 15 48.5; 5.77;-0.019
    5360;  5364;01 08 35.26;-10 10 54.9; 3.46; 1.161
    5368;  5372;01 08 44.16;+86 15 25.6; 4.24; 1.213
    5430;  5434;01 09 30.12;+47 14 30.6; 4.26; 0.012
    5443;  5447;01 09 43.80;+35 37 15.0; 2.07; 1.576
    5450;  5454;01 09 49.20;+19 39 30.2; 5.57; 0.697
    5489;  5493;01 10 18.85;+42 04 53.7; 5.67; 0.603
    5490;  5494;01 10 19.45;+25 27 28.9; 5.81; 1.466
    5506;  5510;01 10 33.56;+02 26 44.6; 5.97; 1.491
    5514;  5518;01 10 39.27;+68 46 43.3; 5.32;-0.014
    5538;  5542;01 11 05.93;+55 08 59.8; 4.34; 0.170
    5540;  5544;01 11 06.77;+31 25 29.2; 5.15; 0.261
    5545;  5550;01 11 10.29;+37 43 26.9; 5.80;-0.095
    5562;  5566;01 11 25.52;+64 12 09.8; 5.56;-0.052
    5567;  5571;01 11 27.19;+21 02 04.8; 4.66; 1.024
    5582;  5586;01 11 39.59;+30 05 23.0; 4.51; 1.092
    5585;  5589;01 11 41.37;+65 01 08.0; 5.57;-0.072
    5590;  5594;01 11 43.54;-02 15 03.7; 5.93; 1.403
    5622;  5626;01 12 16.51;+79 40 26.3; 5.60; 0.008
    5657;  5661;01 12 45.37;-37 51 23.1; 5.95; 0.281
    5733;  5737;01 13 43.80;+07 34 31.8; 5.21; 0.320
    5738;  5742;01 13 44.94;+24 35 01.6; 4.67; 1.047
    5774;  5778;01 14 07.65;+16 08 00.8; 5.97;-0.082
    5794;  5799;01 14 23.97;-07 55 24.6; 5.14; 0.448
    5828;  5833;01 14 49.18;-00 58 27.5; 5.70; 0.428
    5857;  5862;01 15 10.57;-45 31 55.5; 4.97; 0.571
    5892;  5896;01 15 45.50;-68 52 34.5; 4.25; 0.480
    5921;  5926;01 16 11.90;+71 44 37.8; 5.87; 2.042
    5947;  5951;01 16 36.35;-02 30 00.8; 5.42; 0.888
    6056;  6061;01 17 47.98;+03 36 52.3; 5.13; 0.071
    6188;  6193;01 19 27.98;+27 15 50.7; 4.74; 0.032
    6221;  6226;01 19 48.29;-00 30 32.4; 5.87; 0.635
    6237;  6242;01 20 04.92;+58 13 53.8; 4.95; 0.683
    6310;  6315;01 21 07.35;+28 44 18.2; 5.23; 1.396
    6406;  6411;01 22 20.39;+45 31 43.5; 4.87; 1.077
    6487;  6492;01 23 24.95;+20 28 08.4; 5.97; 1.677
    6497;  6502;01 23 30.97;-30 56 43.8; 5.84; 1.612
    6509;  6514;01 23 40.56;+37 42 54.0; 5.60; 0.276
    6532;  6537;01 24 01.45;-08 10 57.9; 3.60; 1.065
    6559;  6564;01 24 20.48;-06 54 52.8; 5.92; 0.407
    6587;  6592;01 24 40.77;-41 29 32.9; 5.42; 1.030
    6626;  6631;01 25 05.28;-64 22 10.0; 5.92; 1.561
    6665;  6670;01 25 37.21;-14 35 55.5; 4.90; 1.231
    6681;  6686;01 25 48.60;+60 14 07.5; 2.66; 0.160
    6687;  6692;01 25 55.90;+68 07 47.8; 4.72; 1.047
    6701;  6706;01 26 15.28;+19 10 20.4; 5.35; 0.395
    6706;  6711;01 26 18.60;+43 27 28.4; 5.98; 0.520
    6727;  6732;01 26 41.65;+19 14 26.0; 5.50; 1.106
    6743;  6748;01 26 51.56;-13 03 23.5; 5.51; 0.321
    6808;  6813;01 27 39.09;+45 24 25.0; 4.83; 0.421
    6862;  6867;01 28 21.94;-43 19 03.8; 3.41; 1.542
    6955;  6960;01 29 36.10;-21 37 45.6; 5.11; 0.028
    6994;  6999;01 30 06.10;+47 00 26.6; 5.27; 0.999
    7002;  7007;01 30 10.94;+06 08 38.2; 4.84; 1.372
    7011;  7016;01 30 22.88;-26 12 28.3; 5.92; 1.327
    7073;  7078;01 31 13.52;+70 15 53.2; 5.82; 0.489
    7077;  7083;01 31 14.98;-49 04 23.1; 3.93; 0.972
    7092;  7097;01 31 28.99;+15 20 45.0; 3.62; 0.974
    7113;  7118;01 31 43.25;-30 16 58.5; 5.79; 1.073
    7208;  7213;01 32 56.05;-36 51 54.7; 5.49; 1.021
    7246;  7251;01 33 25.71;+58 19 38.4; 5.69; 1.435
    7271;  7276;01 33 42.73;-07 01 30.5; 5.75; 0.639
    7289;  7294;01 33 55.93;+59 13 55.5; 4.68; 0.991
    7316;  7321;01 34 16.60;+37 14 13.9; 5.90;-0.067
    7340;  7345;01 34 37.72;-15 40 34.9; 5.62; 0.066
    7354;  7359;01 34 49.05;+18 27 38.4; 5.90; 1.536
    7442;  7447;01 35 54.67;+17 26 01.6; 5.95; 0.259
    7445;  7450;01 35 58.96;-15 24 00.8; 5.41; 1.226
    7458;  7463;01 36 08.43;-29 54 26.8; 5.69; 0.335
    7508;  7513;01 36 47.98;+41 24 23.0; 4.10; 0.536
    7530;  7535;01 37 05.96;+12 08 29.4; 5.54; 0.347
    7563;  7568;01 37 27.78;-84 46 10.7; 5.66; 0.939
    7583;  7588;01 37 42.75;-57 14 12.0; 0.45;-0.158
    7596;  7601;01 37 54.98;-82 58 31.0; 5.88; 0.620
    7602;  7607;01 37 59.50;+48 37 42.6; 3.59; 1.275
    7612;  7617;01 38 07.56;+57 58 39.5; 5.55; 1.388
    7638;  7643;01 38 27.49;-36 31 40.6; 5.94; 1.045
    7645;  7650;01 38 30.94;+73 02 24.3; 5.28; 0.972
    7674;  7679;01 38 51.71;-21 16 31.7; 5.58; 0.346
    7713;  7719;01 39 21.02;+44 23 10.1; 5.01; 0.883
    7735;  7740;01 39 40.77;+16 24 21.2; 5.98; 1.119
    7746;  7751;01 39 47.24;-56 11 47.2; 5.76; 0.880
    7813;  7818;01 40 34.80;+40 34 37.6; 4.96;-0.068
    7820;  7825;01 40 39.56;+43 17 51.9; 5.63; 0.214
    7879;  7884;01 41 25.91;+05 29 15.4; 4.45; 1.347
    7901;  7906;01 41 39.24;+30 02 49.7; 5.97; 1.015
    7911;  7916;01 41 44.80;-11 19 25.2; 5.75; 0.443
    7913;  7918;01 41 46.52;+42 36 49.7; 4.96; 0.618
    7916;  7921;01 41 47.95;-60 47 21.3; 5.70; 1.264
    7936;  7941;01 42 03.02;-36 49 56.2; 5.70;-0.010
    7938;  7943;01 42 03.45;+35 14 44.8; 5.63;-0.059
    7950;  7955;01 42 08.65;-32 19 36.7; 5.25; 1.044
    7960;  7965;01 42 20.44;+68 02 35.0; 5.57;-0.049
    7973;  7978;01 42 29.15;-53 44 26.1; 5.52; 0.551
    7976;  7981;01 42 29.95;+20 16 12.5; 5.24; 0.836
    7994;  7999;01 42 43.52;-03 41 24.4; 4.98; 1.378
    8011;  8016;01 42 55.73;+70 37 21.2; 5.18;-0.022
    8041;  8046;01 43 19.74;+60 33 04.9; 5.78;-0.010
    8063;  8068;01 43 39.62;+50 41 19.6; 4.01;-0.098
    8097;  8102;01 44 05.13;-15 56 22.4; 3.49; 0.727
    8193;  8198;01 45 23.59;+09 09 27.5; 4.26; 0.942
    8204;  8209;01 45 38.65;-25 03 08.8; 5.29; 0.395
    8225;  8230;01 45 59.27;-05 43 59.6; 5.37; 1.517
    8235;  8240;01 46 05.93;-50 48 58.4; 5.49; 1.615
    8236;  8241;01 46 06.14;-53 31 19.9; 5.04; 0.031
    8357;  8362;01 47 44.06;+63 51 11.2; 5.63; 0.804
    8382;  8387;01 48 10.90;+16 57 20.3; 5.86;-0.039
    8398;  8404;01 48 26.02;+03 41 07.5; 5.91; 0.970
    8418;  8423;01 48 38.84;+37 57 10.6; 5.94; 0.975
    8427;  8433;01 48 41.68;+32 41 22.2; 5.78; 0.572
    8491;  8497;01 49 35.19;-10 41 10.3; 4.66; 0.333
    8538;  8544;01 50 08.58;+22 16 31.3; 5.83; 0.743
    8582;  8588;01 50 52.01;+11 02 36.4; 5.92; 0.302
    8587;  8593;01 50 54.48;-50 12 22.1; 5.94; 0.154
    8592;  8598;01 50 57.09;+51 56 01.3; 5.96; 0.419
    8639;  8645;01 51 27.61;-10 20 05.8; 3.74; 1.136
    8698;  8704;01 51 59.31;+55 08 50.7; 5.53;-0.175
    8708;  8714;01 52 09.35;+50 47 34.3; 5.70;-0.067
    8772;  8778;01 52 52.09;-16 55 44.8; 5.78; 0.260
    8790;  8796;01 53 04.90;+29 34 45.8; 3.42; 0.488
    8808;  8814;01 53 17.35;+40 43 47.3; 5.42; 1.311
    8826;  8832;01 53 31.77;+19 17 38.7; 3.88;-0.047
    8827;  8833;01 53 33.34;+03 11 14.9; 4.61; 0.928
    8831;  8837;01 53 38.82;-46 18 08.8; 4.39; 1.597
    8876;  8882;01 54 22.06;-42 29 48.8; 5.12;-0.060
    8880;  8886;01 54 23.68;+63 40 12.5; 3.35;-0.150
    8897;  8903;01 54 38.35;+20 48 29.9; 2.64; 0.165
    8922;  8928;01 54 56.01;-67 38 50.9; 4.68; 0.931
    8987;  8993;01 55 51.03;+23 34 38.4; 5.76; 1.185
    8995;  9001;01 55 54.47;+37 16 40.1; 5.89; 1.599
    9002;  9007;01 55 56.83;-51 36 34.5; 3.69; 0.844
    9003;  9009;01 56 00.00;+68 41 07.0; 4.97;-0.084
    9015;  9021;01 56 09.23;+37 15 06.5; 5.69; 1.060
    9055;  9061;01 56 40.16;-22 31 36.2; 4.92; 1.434
    9089;  9095;01 57 09.99;-47 23 07.1; 4.82; 0.864
    9104;  9110;01 57 21.03;+17 49 03.3; 5.09; 0.921
    9126;  9132;01 57 43.74;+27 48 16.3; 5.84; 1.576
    9148;  9153;01 57 55.78;+23 35 45.9; 4.79; 0.290
    9216;  9222;01 58 33.50;+49 12 15.3; 5.70; 1.005
    9230;  9236;01 58 45.87;-61 34 11.7; 2.86; 0.290
    9301;  9307;01 59 35.60;+21 03 31.0; 5.89; 1.031
    9306;  9312;01 59 37.99;+64 37 17.9; 5.29; 0.002
    9307;  9313;01 59 38.85;-42 01 49.0; 5.57; 1.052
    9320;  9326;01 59 46.19;-20 49 28.5; 5.43; 1.640
    9341;  9347;02 00 00.22;-21 04 40.0; 3.99; 1.554
    9347;  9353;02 00 09.02;+03 05 51.5; 5.89; 0.610
    9366;  9372;02 00 26.77;-08 31 25.8; 5.43; 1.391
    9434;  9440;02 01 14.80;-30 00 05.6; 5.34; 0.883
    9453;  9459;02 01 42.40;-44 42 48.2; 5.15; 1.471
    9474;  9480;02 01 57.55;+70 54 25.4; 4.49; 0.164
    9481;  9487;02 02 02.80;+02 45 49.5; 3.82; 0.024
    9499;  9505;02 02 18.07;+54 29 15.2; 4.99;-0.071
    9527;  9533;02 02 35.08;+13 28 36.2; 5.97; 1.584
    9558;  9564;02 02 52.49;+64 54 05.4; 6.00; 0.029
    9564;  9570;02 02 57.97;+33 17 02.9; 5.50; 0.029
    9566;  9572;02 02 58.55;-15 18 21.4; 5.87; 0.966
    9567;  9573;02 03 00.19;+64 23 24.1; 5.59; 0.325
    9582;  9589;02 03 11.61;+00 07 42.4; 5.42; 0.146
    9591;  9598;02 03 26.19;+72 25 16.5; 3.95;-0.002
    9614;  9621;02 03 39.26;+25 56 07.6; 5.64; 0.537
    9615;  9622;02 03 40.48;-04 06 12.1; 5.61; 1.589
    9623;  9631;02 03 48.12;-00 20 24.5; 5.96; 0.851
    9632;  9640;02 03 53.92;+42 19 47.5; 2.10; 1.370
    9669;  9677;02 04 29.43;-29 17 48.6; 4.68;-0.156
    9720;  9727;02 05 07.05;+77 16 53.2; 5.27; 0.345
